crop,county,total_farms_2022,total_acres_2022,total_bearing_age_farms_2022,total_bearing_age_acres_2022,total_nonbearing_age_farms_2022,total_nonbearing_age_acres_2022,total_farms_2017,total_acres_2017,total_bearing_age_farms_2017,total_bearing_age_acres_2017,total_nonbearing_age_farms_2017,total_nonbearing_age_acres_2017
Figs,Suffolk,1,NA,1,NA,0,0,0,0,0,0,0,0
Grapes (Include Muscadine) (See Text),Accomack,0,0,0,0,0,0,1,NA,1,NA,0,0
Grapes (Include Muscadine) (See Text),Albemarle,77,1277,72,1168,39,108,50,NA,50,NA,15,NA
Grapes (Include Muscadine) (See Text),Alleghany,3,1,3,0,3,0,0,0,0,0,0,0
Grapes (Include Muscadine) (See Text),Amelia,1,NA,1,NA,0,0,3,0,0,0,3,0
Grapes (Include Muscadine) (See Text),Amherst,15,138,15,NA,1,NA,5,23,5,NA,2,NA
Grapes (Include Muscadine) (See Text),Appomattox,7,33,6,NA,7,NA,4,NA,4,NA,2,NA
Grapes (Include Muscadine) (See Text),Augusta,27,163,25,150,13,12,13,113,11,100,4,13
Grapes (Include Muscadine) (See Text),Bedford,24,70,16,48,9,23,27,70,23,50,10,20
Grapes (Include Muscadine) (See Text),Bland,1,NA,1,NA,0,0,2,NA,0,0,2,NA
Grapes (Include Muscadine) (See Text),Botetourt,5,NA,5,NA,1,NA,9,NA,9,36,3,NA
Grapes (Include Muscadine) (See Text),Buchanan,0,0,0,0,0,0,4,NA,4,0,4,NA
Grapes (Include Muscadine) (See Text),Buckingham,0,0,0,0,0,0,3,8,3,NA,2,NA
Grapes (Include Muscadine) (See Text),Campbell,2,NA,2,NA,0,0,6,14,5,13,5,2
Grapes (Include Muscadine) (See Text),Caroline,5,17,5,17,0,0,7,4,3,NA,4,NA
Grapes (Include Muscadine) (See Text),Carroll,6,6,0,0,6,6,3,NA,3,NA,0,0
Grapes (Include Muscadine) (See Text),Charles City,7,109,6,NA,1,NA,2,NA,2,NA,0,0
Grapes (Include Muscadine) (See Text),Charlotte,6,3,6,3,0,0,8,73,6,NA,2,NA
Grapes (Include Muscadine) (See Text),Chesterfield,8,NA,8,NA,0,0,7,6,6,5,3,1
Grapes (Include Muscadine) (See Text),Clarke,6,NA,6,65,1,NA,10,NA,10,21,2,NA
Grapes (Include Muscadine) (See Text),Culpeper,13,72,4,15,10,57,8,13,6,7,6,6
Grapes (Include Muscadine) (See Text),Cumberland,8,8,8,7,4,1,0,0,0,0,0,0
Grapes (Include Muscadine) (See Text),Dickenson,1,NA,1,NA,1,NA,0,0,0,0,0,0
Grapes (Include Muscadine) (See Text),Dinwiddie,5,150,5,75,3,75,0,0,0,0,0,0
Grapes (Include Muscadine) (See Text),Essex,2,NA,2,NA,2,NA,8,46,8,38,6,8
Grapes (Include Muscadine) (See Text),Fairfax,11,4,7,2,9,2,11,65,7,53,8,12
Grapes (Include Muscadine) (See Text),Fauquier,56,552,53,502,19,50,35,340,33,312,11,28
Grapes (Include Muscadine) (See Text),Floyd,5,156,5,156,0,0,10,118,10,116,3,2
Grapes (Include Muscadine) (See Text),Fluvanna,0,0,0,0,0,0,9,29,3,NA,8,NA
Grapes (Include Muscadine) (See Text),Franklin,13,14,13,11,5,4,11,6,9,3,6,3
Grapes (Include Muscadine) (See Text),Frederick,24,98,17,48,19,50,7,10,7,10,0,0
Grapes (Include Muscadine) (See Text),Giles,2,NA,2,NA,0,0,3,NA,3,NA,1,NA
Grapes (Include Muscadine) (See Text),Gloucester,6,NA,0,0,6,NA,0,0,0,0,0,0
Grapes (Include Muscadine) (See Text),Goochland,1,NA,1,NA,0,0,1,NA,1,NA,0,0
Grapes (Include Muscadine) (See Text),Grayson,4,NA,1,NA,3,NA,3,NA,1,NA,2,NA
Grapes (Include Muscadine) (See Text),Greene,2,NA,2,NA,0,0,5,NA,5,NA,0,0
Grapes (Include Muscadine) (See Text),Greensville,0,0,0,0,0,0,1,NA,0,0,1,NA
Grapes (Include Muscadine) (See Text),Halifax,15,32,15,NA,1,NA,12,31,9,29,4,2
Grapes (Include Muscadine) (See Text),Hanover,3,45,3,45,0,0,7,69,7,60,4,9
Grapes (Include Muscadine) (See Text),Henrico,0,0,0,0,0,0,8,NA,8,NA,5,NA
Grapes (Include Muscadine) (See Text),Henry,8,22,6,20,4,2,1,NA,1,NA,0,0
Grapes (Include Muscadine) (See Text),Highland,0,0,0,0,0,0,1,NA,1,NA,0,0
Grapes (Include Muscadine) (See Text),Isle of Wight,4,NA,4,NA,1,NA,6,21,5,NA,1,NA
Grapes (Include Muscadine) (See Text),James City,2,NA,2,NA,2,NA,4,NA,4,NA,0,0
Grapes (Include Muscadine) (See Text),King George,9,19,0,0,9,19,1,NA,1,NA,0,0
Grapes (Include Muscadine) (See Text),King William,2,NA,0,0,2,NA,0,0,0,0,0,0
Grapes (Include Muscadine) (See Text),Lancaster,1,NA,1,NA,0,0,1,NA,1,NA,1,NA
Grapes (Include Muscadine) (See Text),Lee,4,5,4,5,0,0,4,NA,0,0,4,NA
Grapes (Include Muscadine) (See Text),Loudoun,98,1084,87,1023,25,61,71,1022,62,885,37,137
Grapes (Include Muscadine) (See Text),Louisa,13,47,7,41,12,6,7,58,7,NA,2,NA
Grapes (Include Muscadine) (See Text),Lunenburg,3,0,0,0,3,0,5,5,3,NA,5,NA
Grapes (Include Muscadine) (See Text),Madison,20,167,13,126,12,41,18,107,18,107,0,0
Grapes (Include Muscadine) (See Text),Mecklenburg,5,57,4,52,3,6,11,31,9,26,3,5
Grapes (Include Muscadine) (See Text),Middlesex,7,25,2,NA,5,NA,0,0,0,0,0,0
Grapes (Include Muscadine) (See Text),Montgomery,3,NA,3,NA,1,NA,4,20,4,NA,2,NA
Grapes (Include Muscadine) (See Text),Nelson,30,454,30,404,11,50,16,254,14,230,7,24
Grapes (Include Muscadine) (See Text),New Kent,11,154,11,150,7,4,10,124,10,104,4,20
Grapes (Include Muscadine) (See Text),Northampton,4,0,4,0,0,0,0,0,0,0,0,0
Grapes (Include Muscadine) (See Text),Northumberland,5,52,5,52,0,0,2,NA,2,NA,0,0
Grapes (Include Muscadine) (See Text),Nottoway,1,NA,1,NA,1,NA,0,0,0,0,0,0
Grapes (Include Muscadine) (See Text),Orange,17,362,17,NA,6,NA,15,305,15,NA,4,NA
Grapes (Include Muscadine) (See Text),Page,6,NA,0,0,6,NA,1,NA,1,NA,0,0
Grapes (Include Muscadine) (See Text),Patrick,3,NA,3,NA,1,NA,6,25,6,NA,1,NA
Grapes (Include Muscadine) (See Text),Pittsylvania,13,18,12,NA,2,NA,16,16,7,14,12,3
Grapes (Include Muscadine) (See Text),Powhatan,1,NA,1,NA,0,0,5,NA,5,NA,0,0
Grapes (Include Muscadine) (See Text),Prince Edward,2,NA,2,NA,0,0,2,NA,2,NA,2,NA
Grapes (Include Muscadine) (See Text),Prince George,0,0,0,0,0,0,1,NA,1,NA,1,NA
Grapes (Include Muscadine) (See Text),Prince William,5,13,5,NA,1,NA,15,23,7,4,10,19
Grapes (Include Muscadine) (See Text),Pulaski,1,NA,1,NA,0,0,2,NA,2,NA,2,NA
Grapes (Include Muscadine) (See Text),Rappahannock,30,463,24,400,26,63,19,202,15,172,18,30
Grapes (Include Muscadine) (See Text),Richmond,0,0,0,0,0,0,1,NA,1,NA,0,0
Grapes (Include Muscadine) (See Text),Roanoke,1,NA,1,NA,0,0,3,NA,3,NA,0,0
Grapes (Include Muscadine) (See Text),Rockbridge,13,66,12,62,4,4,10,32,10,NA,2,NA
Grapes (Include Muscadine) (See Text),Rockingham,19,33,16,NA,7,NA,22,79,17,65,10,14
Grapes (Include Muscadine) (See Text),Russell,2,NA,2,NA,0,0,1,NA,1,NA,0,0
Grapes (Include Muscadine) (See Text),Scott,4,0,0,0,4,0,8,4,2,NA,6,NA
Grapes (Include Muscadine) (See Text),Shenandoah,31,NA,21,NA,19,NA,21,217,13,161,15,56
Grapes (Include Muscadine) (See Text),Smyth,2,NA,2,NA,0,0,3,1,3,1,0,0
Grapes (Include Muscadine) (See Text),Southampton,2,NA,0,0,2,NA,0,0,0,0,0,0
Grapes (Include Muscadine) (See Text),Spotsylvania,5,30,5,20,4,10,10,103,8,89,5,14
Grapes (Include Muscadine) (See Text),Stafford,7,NA,7,NA,3,NA,5,NA,5,NA,1,NA
Grapes (Include Muscadine) (See Text),Surry,1,NA,1,NA,1,NA,3,NA,2,NA,1,NA
Grapes (Include Muscadine) (See Text),Tazewell,5,1,0,0,5,1,2,NA,2,NA,0,0
Grapes (Include Muscadine) (See Text),Warren,8,NA,8,NA,1,NA,9,37,9,NA,4,NA
Grapes (Include Muscadine) (See Text),Washington,6,NA,4,NA,3,NA,12,29,12,NA,2,NA
Grapes (Include Muscadine) (See Text),Westmoreland,6,76,6,76,0,0,15,197,15,NA,4,NA
Grapes (Include Muscadine) (See Text),Wise,3,NA,0,0,3,NA,8,42,6,NA,6,NA
Grapes (Include Muscadine) (See Text),Wythe,1,NA,0,0,1,NA,3,NA,3,NA,0,0
Grapes (Include Muscadine) (See Text),Chesapeake City,8,NA,8,NA,0,0,4,NA,0,0,4,NA
Grapes (Include Muscadine) (See Text),Suffolk,1,NA,1,NA,0,0,0,0,0,0,0,0
Grapes (Include Muscadine) (See Text),Virginia Beach City,1,NA,1,NA,0,0,1,NA,1,NA,0,0
Kiwifruit,Albemarle,1,NA,1,NA,1,NA,5,2,5,1,3,1
Kiwifruit,Amherst,0,0,0,0,0,0,1,NA,1,NA,0,0
Kiwifruit,Charlotte,0,0,0,0,0,0,3,0,0,0,3,0
Kiwifruit,Floyd,2,NA,2,NA,0,0,0,0,0,0,0,0
Kiwifruit,Grayson,0,0,0,0,0,0,1,NA,1,NA,0,0
Kiwifruit,Loudoun,0,0,0,0,0,0,1,NA,0,0,1,NA
Kiwifruit,Madison,0,0,0,0,0,0,2,NA,2,NA,0,0
Kiwifruit,Montgomery,1,NA,1,NA,0,0,0,0,0,0,0,0
Kiwifruit,Pulaski,1,NA,1,NA,0,0,0,0,0,0,0,0
Kiwifruit,Tazewell,2,NA,0,0,2,NA,0,0,0,0,0,0
Kiwifruit,Virginia Beach City,1,NA,1,NA,0,0,0,0,0,0,0,0
Nectarines,Albemarle,4,NA,4,NA,1,NA,1,NA,1,NA,1,NA
Nectarines,Amelia,4,0,0,0,4,0,0,0,0,0,0,0
Nectarines,Augusta,1,NA,1,NA,0,0,1,NA,0,0,1,NA
Nectarines,Bedford,1,NA,1,NA,0,0,2,NA,2,NA,0,0
Nectarines,Botetourt,1,NA,1,NA,0,0,2,NA,2,NA,0,0
Nectarines,Carroll,4,NA,4,NA,0,0,1,NA,1,NA,1,NA
Nectarines,Charles City,1,NA,1,NA,1,NA,1,NA,1,NA,0,0
Nectarines,Clarke,0,0,0,0,0,0,1,NA,1,NA,0,0
Nectarines,Craig,1,NA,0,0,1,NA,2,NA,0,0,2,NA
Nectarines,Fairfax,1,NA,0,0,1,NA,2,NA,2,NA,2,NA
Nectarines,Fauquier,1,NA,1,NA,0,0,0,0,0,0,0,0
Nectarines,Floyd,6,NA,6,NA,0,0,0,0,0,0,0,0
Nectarines,Fluvanna,0,0,0,0,0,0,1,NA,0,0,1,NA
Nectarines,Franklin,9,7,8,NA,1,NA,3,2,3,2,0,0
Nectarines,Giles,1,NA,1,NA,1,NA,0,0,0,0,0,0
Nectarines,Hanover,1,NA,1,NA,1,NA,2,NA,2,NA,0,0
Nectarines,Highland,0,0,0,0,0,0,1,NA,1,NA,0,0
Nectarines,Isle of Wight,0,0,0,0,0,0,1,NA,0,0,1,NA
Nectarines,Loudoun,4,2,1,NA,4,NA,3,1,0,0,3,1
Nectarines,Nelson,1,NA,1,NA,0,0,0,0,0,0,0,0
Nectarines,Nottoway,1,NA,0,0,1,NA,0,0,0,0,0,0
Nectarines,Rappahannock,0,0,0,0,0,0,2,NA,2,NA,0,0
Nectarines,Rockbridge,0,0,0,0,0,0,6,1,0,0,6,1
Nectarines,Rockingham,1,NA,1,NA,0,0,0,0,0,0,0,0
Nectarines,Shenandoah,2,NA,1,NA,1,NA,1,NA,1,NA,0,0
Nectarines,Tazewell,2,NA,0,0,2,NA,0,0,0,0,0,0
Nectarines,Warren,0,0,0,0,0,0,3,NA,0,0,3,NA
Nectarines,Washington,0,0,0,0,0,0,2,NA,2,NA,0,0
Nectarines,Suffolk,0,0,0,0,0,0,1,NA,0,0,1,NA
Pawpaws (See Text),Amherst,1,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA
Pawpaws (See Text),Bedford,3,1,3,1,0,0,NA,NA,NA,NA,NA,NA
Pawpaws (See Text),Chesterfield,2,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA
Pawpaws (See Text),Clarke,1,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA
Pawpaws (See Text),Culpeper,2,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA
Pawpaws (See Text),Fairfax,5,NA,0,0,5,NA,NA,NA,NA,NA,NA,NA
Pawpaws (See Text),Floyd,2,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA
Pawpaws (See Text),Greene,1,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA
Pawpaws (See Text),Henrico,1,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA
Pawpaws (See Text),Highland,1,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA
Pawpaws (See Text),Lancaster,1,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA
Pawpaws (See Text),Loudoun,17,7,11,6,9,1,NA,NA,NA,NA,NA,NA
Pawpaws (See Text),New Kent,6,9,0,0,6,9,NA,NA,NA,NA,NA,NA
Pawpaws (See Text),Powhatan,3,0,0,0,3,0,NA,NA,NA,NA,NA,NA
Pawpaws (See Text),Prince Edward,4,NA,4,NA,0,0,NA,NA,NA,NA,NA,NA
Pawpaws (See Text),Prince William,2,NA,2,NA,0,0,NA,NA,NA,NA,NA,NA
Pawpaws (See Text),Pulaski,6,1,0,0,6,1,NA,NA,NA,NA,NA,NA
Pawpaws (See Text),Rappahannock,6,1,6,1,0,0,NA,NA,NA,NA,NA,NA
Pawpaws (See Text),Rockingham,1,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA
Pawpaws (See Text),Scott,5,1,5,1,0,0,NA,NA,NA,NA,NA,NA
Pawpaws (See Text),Shenandoah,3,0,0,0,3,0,NA,NA,NA,NA,NA,NA
Pawpaws (See Text),Smyth,1,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA
Pawpaws (See Text),Spotsylvania,6,1,0,0,6,1,NA,NA,NA,NA,NA,NA
Pawpaws (See Text),Washington,2,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA
"Peaches, All",Accomack,1,NA,0,0,1,NA,2,NA,2,NA,0,0
"Peaches, All",Albemarle,3,185,3,185,0,0,6,32,6,NA,1,NA
"Peaches, All",Alleghany,3,1,3,1,3,0,0,0,0,0,0,0
"Peaches, All",Amelia,7,1,3,0,7,1,1,NA,0,0,1,NA
"Peaches, All",Amherst,3,NA,2,NA,1,NA,2,NA,2,NA,0,0
"Peaches, All",Appomattox,2,NA,1,NA,1,NA,0,0,0,0,0,0
"Peaches, All",Augusta,18,9,15,9,4,1,9,1,4,NA,5,NA
"Peaches, All",Bedford,10,33,10,NA,1,NA,11,21,11,16,9,5
"Peaches, All",Botetourt,2,NA,2,NA,0,0,3,NA,3,NA,0,0
"Peaches, All",Brunswick,1,NA,1,NA,0,0,0,0,0,0,0,0
"Peaches, All",Buchanan,3,5,3,5,0,0,1,NA,1,NA,0,0
"Peaches, All",Buckingham,10,4,2,NA,10,NA,2,NA,2,NA,0,0
"Peaches, All",Campbell,0,0,0,0,0,0,4,19,3,NA,1,NA
"Peaches, All",Caroline,1,NA,1,NA,0,0,3,7,1,NA,3,NA
"Peaches, All",Carroll,17,131,13,118,8,13,18,120,16,105,13,15
"Peaches, All",Charles City,1,NA,1,NA,1,NA,1,NA,1,NA,0,0
"Peaches, All",Charlotte,7,17,6,NA,1,NA,7,NA,2,NA,5,NA
"Peaches, All",Clarke,2,NA,2,NA,2,NA,1,NA,1,NA,1,NA
"Peaches, All",Craig,0,0,0,0,0,0,1,NA,1,NA,1,NA
"Peaches, All",Culpeper,8,2,0,0,8,2,5,1,3,NA,3,NA
"Peaches, All",Cumberland,8,6,8,5,4,1,5,2,5,2,0,0
"Peaches, All",Dickenson,0,0,0,0,0,0,1,NA,0,0,1,NA
"Peaches, All",Fairfax,8,3,7,2,6,1,6,2,2,NA,6,NA
"Peaches, All",Fauquier,26,96,24,44,13,52,9,57,9,NA,3,NA
"Peaches, All",Floyd,14,36,12,NA,2,NA,7,13,7,NA,2,NA
"Peaches, All",Fluvanna,4,3,3,NA,4,NA,2,NA,2,NA,1,NA
"Peaches, All",Franklin,19,31,13,27,6,4,16,23,11,22,6,1
"Peaches, All",Frederick,11,158,11,130,6,28,9,169,9,NA,2,NA
"Peaches, All",Gloucester,1,NA,0,0,1,NA,0,0,0,0,0,0
"Peaches, All",Goochland,2,NA,2,NA,0,0,2,NA,2,NA,2,NA
"Peaches, All",Grayson,9,8,3,NA,6,NA,4,NA,0,0,4,NA
"Peaches, All",Greene,3,NA,0,0,3,NA,1,NA,0,0,1,NA
"Peaches, All",Greensville,0,0,0,0,0,0,1,NA,1,NA,0,0
"Peaches, All",Halifax,1,NA,1,NA,1,NA,2,NA,2,NA,1,NA
"Peaches, All",Hanover,3,NA,3,NA,2,NA,8,26,5,NA,6,NA
"Peaches, All",Henrico,1,NA,0,0,1,NA,0,0,0,0,0,0
"Peaches, All",Henry,5,2,4,NA,3,NA,1,NA,1,NA,0,0
"Peaches, All",Highland,0,0,0,0,0,0,1,NA,1,NA,0,0
"Peaches, All",Isle of Wight,7,3,7,NA,1,NA,2,NA,1,NA,1,NA
"Peaches, All",James City,2,NA,2,NA,2,NA,6,30,1,NA,5,NA
"Peaches, All",King and Queen,6,1,0,0,6,1,0,0,0,0,0,0
"Peaches, All",King George,7,2,1,NA,6,NA,1,NA,1,NA,0,0
"Peaches, All",Lancaster,1,NA,1,NA,0,0,0,0,0,0,0,0
"Peaches, All",Lee,12,16,4,15,8,1,4,NA,1,NA,3,0
"Peaches, All",Loudoun,46,37,30,27,22,10,13,17,8,10,6,6
"Peaches, All",Louisa,8,1,2,NA,6,NA,3,1,3,1,0,0
"Peaches, All",Lunenburg,5,2,2,NA,3,NA,4,3,0,0,4,3
"Peaches, All",Madison,4,NA,3,NA,1,NA,4,NA,4,NA,2,NA
"Peaches, All",Mecklenburg,5,1,4,NA,1,NA,24,12,11,NA,13,NA
"Peaches, All",Montgomery,12,7,5,3,7,4,5,NA,5,NA,0,0
"Peaches, All",Nelson,6,144,6,129,3,14,3,116,3,NA,1,NA
"Peaches, All",New Kent,2,NA,0,0,2,NA,0,0,0,0,0,0
"Peaches, All",Northampton,0,0,0,0,0,0,2,NA,2,NA,0,0
"Peaches, All",Nottoway,9,15,3,12,7,3,6,35,5,5,5,30
"Peaches, All",Orange,2,NA,2,NA,1,NA,1,NA,1,NA,0,0
"Peaches, All",Page,1,NA,1,NA,1,NA,1,NA,1,NA,0,0
"Peaches, All",Patrick,12,26,11,NA,3,NA,5,39,5,NA,2,NA
"Peaches, All",Pittsylvania,4,14,4,NA,1,NA,13,20,13,NA,2,NA
"Peaches, All",Powhatan,6,1,6,1,6,1,2,NA,0,0,2,NA
"Peaches, All",Prince Edward,3,NA,1,NA,2,NA,2,NA,1,NA,1,NA
"Peaches, All",Prince William,3,2,1,NA,3,NA,13,1,7,1,6,1
"Peaches, All",Pulaski,5,3,3,NA,2,NA,3,NA,3,NA,0,0
"Peaches, All",Rappahannock,12,16,3,13,9,3,10,29,6,NA,6,NA
"Peaches, All",Roanoke,9,24,2,NA,7,NA,2,NA,2,NA,0,0
"Peaches, All",Rockbridge,13,13,12,NA,1,NA,10,5,4,NA,6,NA
"Peaches, All",Rockingham,12,38,8,31,6,7,8,NA,8,NA,3,NA
"Peaches, All",Russell,1,NA,1,NA,1,NA,0,0,0,0,0,0
"Peaches, All",Scott,7,1,7,NA,1,NA,0,0,0,0,0,0
"Peaches, All",Shenandoah,18,19,9,15,16,5,1,NA,1,NA,0,0
"Peaches, All",Smyth,1,NA,0,0,1,NA,0,0,0,0,0,0
"Peaches, All",Southampton,3,0,1,NA,3,NA,0,0,0,0,0,0
"Peaches, All",Spotsylvania,9,3,9,2,3,1,3,2,3,NA,3,NA
"Peaches, All",Stafford,2,NA,2,NA,0,0,3,NA,1,NA,2,NA
"Peaches, All",Surry,1,NA,1,NA,0,0,1,NA,0,0,1,NA
"Peaches, All",Tazewell,3,1,0,0,3,1,2,NA,2,NA,1,NA
"Peaches, All",Warren,1,NA,0,0,1,NA,5,4,0,0,5,4
"Peaches, All",Washington,14,6,13,NA,1,NA,11,11,7,9,7,2
"Peaches, All",Westmoreland,2,NA,2,NA,2,NA,3,NA,3,NA,2,NA
"Peaches, All",Wythe,1,NA,0,0,1,NA,2,NA,2,NA,1,NA
"Peaches, All",Chesapeake City,1,NA,1,NA,0,0,1,NA,1,NA,1,NA
"Peaches, All",Suffolk,0,0,0,0,0,0,3,3,1,NA,2,NA
"Peaches, All",Virginia Beach City,1,NA,1,NA,0,0,3,NA,3,9,3,NA
"Peaches, Clingstone",Accomack,1,NA,0,0,1,NA,2,NA,2,NA,0,0
"Peaches, Clingstone",Albemarle,3,15,3,15,0,0,4,NA,4,NA,0,0
"Peaches, Clingstone",Amelia,7,1,3,0,7,1,0,0,0,0,0,0
"Peaches, Clingstone",Amherst,1,NA,0,0,1,NA,0,0,0,0,0,0
"Peaches, Clingstone",Appomattox,1,NA,0,0,1,NA,0,0,0,0,0,0
"Peaches, Clingstone",Augusta,7,4,4,3,4,1,8,NA,3,NA,5,NA
"Peaches, Clingstone",Bedford,1,NA,1,NA,0,0,0,0,0,0,0,0
"Peaches, Clingstone",Buckingham,4,1,2,NA,4,NA,0,0,0,0,0,0
"Peaches, Clingstone",Campbell,0,0,0,0,0,0,1,NA,0,0,1,NA
"Peaches, Clingstone",Carroll,2,NA,0,0,2,NA,14,9,12,NA,12,NA
"Peaches, Clingstone",Charles City,0,0,0,0,0,0,1,NA,1,NA,0,0
"Peaches, Clingstone",Charlotte,6,NA,6,NA,0,0,3,NA,1,NA,2,NA
"Peaches, Clingstone",Clarke,0,0,0,0,0,0,1,NA,1,NA,1,NA
"Peaches, Clingstone",Craig,0,0,0,0,0,0,1,NA,1,NA,1,NA
"Peaches, Clingstone",Culpeper,5,1,0,0,5,1,2,NA,2,NA,0,0
"Peaches, Clingstone",Fairfax,8,3,7,2,6,1,6,2,2,NA,6,NA
"Peaches, Clingstone",Fauquier,3,2,3,2,0,0,4,NA,4,NA,0,0
"Peaches, Clingstone",Floyd,7,16,5,NA,2,NA,1,NA,1,NA,0,0
"Peaches, Clingstone",Fluvanna,0,0,0,0,0,0,1,NA,1,NA,1,NA
"Peaches, Clingstone",Franklin,7,5,2,NA,5,NA,3,NA,2,NA,1,NA
"Peaches, Clingstone",Frederick,6,40,6,NA,2,NA,1,NA,1,NA,1,NA
"Peaches, Clingstone",Gloucester,1,NA,0,0,1,NA,0,0,0,0,0,0
"Peaches, Clingstone",Grayson,9,NA,3,NA,6,NA,2,NA,0,0,2,NA
"Peaches, Clingstone",Greensville,0,0,0,0,0,0,1,NA,1,NA,0,0
"Peaches, Clingstone",Hanover,1,NA,1,NA,1,NA,5,NA,2,NA,3,NA
"Peaches, Clingstone",Highland,0,0,0,0,0,0,1,NA,1,NA,0,0
"Peaches, Clingstone",Isle of Wight,2,NA,2,NA,0,0,1,NA,0,0,1,NA
"Peaches, Clingstone",King and Queen,6,1,0,0,6,1,0,0,0,0,0,0
"Peaches, Clingstone",King George,7,2,1,NA,6,NA,1,NA,1,NA,0,0
"Peaches, Clingstone",Lancaster,1,NA,1,NA,0,0,0,0,0,0,0,0
"Peaches, Clingstone",Lee,1,NA,1,NA,0,0,1,NA,1,NA,0,0
"Peaches, Clingstone",Loudoun,24,7,20,3,6,3,7,5,4,NA,3,NA
"Peaches, Clingstone",Louisa,6,NA,0,0,6,NA,0,0,0,0,0,0
"Peaches, Clingstone",Lunenburg,3,NA,0,0,3,NA,4,NA,0,0,4,NA
"Peaches, Clingstone",Madison,2,NA,2,NA,0,0,2,NA,2,NA,0,0
"Peaches, Clingstone",Mecklenburg,2,NA,2,NA,0,0,17,9,5,NA,12,NA
"Peaches, Clingstone",Montgomery,7,4,0,0,7,4,3,0,3,0,0,0
"Peaches, Clingstone",Nelson,5,28,5,NA,1,NA,3,NA,3,NA,0,0
"Peaches, Clingstone",New Kent,2,NA,0,0,2,NA,0,0,0,0,0,0
"Peaches, Clingstone",Nottoway,8,NA,2,NA,7,3,6,NA,5,NA,5,30
"Peaches, Clingstone",Orange,2,NA,2,NA,1,NA,1,NA,1,NA,0,0
"Peaches, Clingstone",Page,1,NA,1,NA,0,0,1,NA,1,NA,0,0
"Peaches, Clingstone",Patrick,6,NA,6,NA,0,0,1,NA,1,NA,1,NA
"Peaches, Clingstone",Pittsylvania,1,NA,1,NA,1,NA,4,2,4,NA,2,NA
"Peaches, Clingstone",Prince Edward,0,0,0,0,0,0,2,NA,1,NA,1,NA
"Peaches, Clingstone",Prince William,3,2,1,NA,3,NA,2,NA,2,NA,0,0
"Peaches, Clingstone",Pulaski,3,NA,1,NA,2,NA,1,NA,1,NA,0,0
"Peaches, Clingstone",Rappahannock,8,6,2,NA,6,NA,3,NA,3,NA,0,0
"Peaches, Clingstone",Roanoke,7,NA,0,0,7,NA,0,0,0,0,0,0
"Peaches, Clingstone",Rockbridge,2,NA,1,NA,1,NA,2,NA,2,NA,0,0
"Peaches, Clingstone",Rockingham,4,12,4,12,0,0,2,NA,2,NA,0,0
"Peaches, Clingstone",Scott,1,NA,1,NA,0,0,0,0,0,0,0,0
"Peaches, Clingstone",Shenandoah,10,1,1,NA,9,NA,0,0,0,0,0,0
"Peaches, Clingstone",Smyth,1,NA,0,0,1,NA,0,0,0,0,0,0
"Peaches, Clingstone",Spotsylvania,9,3,9,2,3,1,0,0,0,0,0,0
"Peaches, Clingstone",Stafford,0,0,0,0,0,0,2,NA,0,0,2,NA
"Peaches, Clingstone",Surry,1,NA,1,NA,0,0,1,NA,0,0,1,NA
"Peaches, Clingstone",Tazewell,2,NA,0,0,2,NA,0,0,0,0,0,0
"Peaches, Clingstone",Warren,1,NA,0,0,1,NA,5,4,0,0,5,4
"Peaches, Clingstone",Washington,1,NA,1,NA,0,0,4,1,2,NA,4,NA
"Peaches, Clingstone",Wythe,1,NA,0,0,1,NA,1,NA,1,NA,1,NA
"Peaches, Clingstone",Suffolk,0,0,0,0,0,0,1,NA,0,0,1,NA
"Peaches, Clingstone",Virginia Beach City,0,0,0,0,0,0,3,NA,3,9,3,NA
"Peaches, Freestone",Albemarle,3,171,3,171,0,0,2,NA,2,NA,1,NA
"Peaches, Freestone",Alleghany,3,1,3,1,3,0,0,0,0,0,0,0
"Peaches, Freestone",Amelia,0,0,0,0,0,0,1,NA,0,0,1,NA
"Peaches, Freestone",Amherst,2,NA,2,NA,0,0,2,NA,2,NA,0,0
"Peaches, Freestone",Appomattox,1,NA,1,NA,0,0,0,0,0,0,0,0
"Peaches, Freestone",Augusta,11,5,11,5,0,0,1,NA,1,NA,0,0
"Peaches, Freestone",Bedford,9,NA,9,33,1,NA,11,21,11,16,9,5
"Peaches, Freestone",Botetourt,2,NA,2,NA,0,0,3,NA,3,NA,0,0
"Peaches, Freestone",Brunswick,1,NA,1,NA,0,0,0,0,0,0,0,0
"Peaches, Freestone",Buchanan,3,5,3,5,0,0,1,NA,1,NA,0,0
"Peaches, Freestone",Buckingham,6,3,0,0,6,3,2,NA,2,NA,0,0
